Frame,Time,rigidBody_X,rigidBody_Y,rigidBody_Z
4217,35.1416666666667,0,0,0
4337,36.1416666666667,0,0,0
4457,37.1416666666667,0,0,0
4576,38.1333333333333,0,0,0
4696,39.1333333333333,0,0,0
4816,40.1333333333333,0,0,0
4936,41.1333333333333,0,0,0
5055,42.125,0,0,0
5175,43.125,0,0,0
5295,44.125,0,0,0
